year,year_max,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2016,2020,SVN,Total,0.002,,,,
2000,2005,SWE,Natural,0.44,,,,
2006,2010,SWE,Natural,0.36,,,,
2011,2015,SWE,Natural,0.24,,,,
2016,2020,SWE,Natural,0.16,,,,
2000,2005,SWE,Planted,0.29,,,,
2006,2010,SWE,Planted,0.13,,,,
2011,2015,SWE,Planted,0.039,,,,
2016,2020,SWE,Planted,0.02,,,,
2000,2005,SWE,Total,0.72,,,,
2006,2010,SWE,Total,0.49,,,,
2011,2015,SWE,Total,0.28,,,,
2016,2020,SWE,Total,0.18,,,,
2000,2005,SWZ,Natural,0.0033,,,,
2006,2010,SWZ,Natural,0.0023,,,,
2011,2015,SWZ,Natural,0.003,,,,
2016,2020,SWZ,Natural,0.0085,,,,
2000,2005,SWZ,Planted,0.0032,,,,
2006,2010,SWZ,Planted,0.0006,,,,
2011,2015,SWZ,Planted,0.0019,,,,
2016,2020,SWZ,Planted,0.00067,,,,
2000,2005,SWZ,Total,0.0065,,,,
2006,2010,SWZ,Total,0.0029,,,,
2011,2015,SWZ,Total,0.0049,,,,
2016,2020,SWZ,Total,0.0092,,,,
2000,2005,SXM,Natural,0.0000023,,,,
2006,2010,SXM,Natural,0.0000014,,,,
2011,2015,SXM,Natural,0.0000024,,,,
2016,2020,SXM,Natural,0.00001,,,,
2000,2005,SXM,Planted,0,,,,
2006,2010,SXM,Planted,0,,,,
2011,2015,SXM,Planted,0,,,,
2016,2020,SXM,Planted,0,,,,
2000,2005,SXM,Total,0.0000023,,,,
2006,2010,SXM,Total,0.0000014,,,,
2011,2015,SXM,Total,0.0000024,,,,
2016,2020,SXM,Total,0.00001,,,,
2000,2005,SYC,Natural,0.0000003,,,,
2006,2010,SYC,Natural,0.000000076,,,,
2011,2015,SYC,Natural,0,,,,
2016,2020,SYC,Natural,0.0000011,,,,
2000,2005,SYC,Planted,0,,,,
2006,2010,SYC,Planted,0,,,,
2011,2015,SYC,Planted,0,,,,
2016,2020,SYC,Planted,0,,,,
2000,2005,SYC,Total,0.0000003,,,,
2006,2010,SYC,Total,0.000000076,,,,
2011,2015,SYC,Total,0,,,,
2016,2020,SYC,Total,0.0000011,,,,
2000,2005,SYR,Natural,0.00069,,,,
2006,2010,SYR,Natural,0.001,,,,
2011,2015,SYR,Natural,0.0011,,,,
2016,2020,SYR,Natural,0.0028,,,,
2000,2005,SYR,Planted,0.000032,,,,
2006,2010,SYR,Planted,0.000028,,,,
2011,2015,SYR,Planted,0.000015,,,,
2016,2020,SYR,Planted,0.000046,,,,
2000,2005,SYR,Total,0.00072,,,,
2006,2010,SYR,Total,0.001,,,,
2011,2015,SYR,Total,0.0011,,,,
2016,2020,SYR,Total,0.0028,,,,
2000,2005,TCA,Natural,0.0000025,,,,
2006,2010,TCA,Natural,0.0000062,,,,
2011,2015,TCA,Natural,0.0000088,,,,
2016,2020,TCA,Natural,0.000046,,,,
2000,2005,TCA,Planted,0,,,,
