year,geo,value
2010,MHL,3.2
2011,MHL,6.4
2012,MHL,6.4
2013,MHL,6.5
2014,MHL,6.5
2015,MHL,6.6
2016,MHL,6.6
2017,MHL,10
2018,MHL,10
2019,MHL,11
2020,MHL,11
2021,MHL,11
2022,MHL,11
2023,MHL,12
2024,MHL,12
2025,MHL,13
2005,MKD,9.9
2006,MKD,19
2007,MKD,34
2008,MKD,48
2009,MKD,53
2010,MKD,55
2011,MKD,56
2012,MKD,54
2013,MKD,59
2014,MKD,61
2015,MKD,67
2016,MKD,66
2017,MKD,66
2018,MKD,67
2019,MKD,67
2020,MKD,64
2021,MKD,65
2022,MKD,67
2023,MKD,67
2024,MKD,69
2025,MKD,74
2010,MLI,2.6
2011,MLI,3
2012,MLI,3.2
2013,MLI,3.8
2014,MLI,3.8
2015,MLI,4.1
2016,MLI,4.4
2017,MLI,4.4
2018,MLI,4.9
2019,MLI,5
2020,MLI,4.7
2021,MLI,4.5
2022,MLI,4.3
2023,MLI,4.2
2024,MLI,4.2
2025,MLI,3.7
2004,MLT,45
2005,MLT,45
2006,MLT,41
2007,MLT,47
2008,MLT,47
2009,MLT,49
2010,MLT,52
2011,MLT,55
2012,MLT,60
2013,MLT,59
2014,MLT,55
2015,MLT,55
2016,MLT,55
2017,MLT,55
2018,MLT,52
2019,MLT,48
2020,MLT,45
2021,MLT,45
2022,MLT,43
2023,MLT,42
2024,MLT,41
2025,MLT,40
2012,MMR,0.091
2013,MMR,0.61
2014,MMR,1.7
2015,MMR,2
2016,MMR,2.7
2017,MMR,4.4
2018,MMR,5.7
2019,MMR,7
2020,MMR,7.6
2005,MNE,14
2006,MNE,26
2007,MNE,40
2008,MNE,53
2009,MNE,60
2010,MNE,64
2011,MNE,66
2012,MNE,69
2013,MNE,71
2014,MNE,71
2015,MNE,76
2016,MNE,78
2017,MNE,81
2018,MNE,87
2019,MNE,81
2020,MNE,81
2021,MNE,77
2022,MNE,81
2023,MNE,83
2024,MNE,89
2025,MNE,87
2008,MNG,9.9
2009,MNG,15
2010,MNG,19
2011,MNG,32
2012,MNG,45
2013,MNG,50
2014,MNG,58
2015,MNG,72
2016,MNG,88
2017,MNG,93
2018,MNG,107
2019,MNG,57
2020,MNG,48
2021,MNG,46
2022,MNG,41
2023,MNG,31
2024,MNG,25
2025,MNG,19
2004,MOZ,1.9
2005,MOZ,2.2
2006,MOZ,3.3
2007,MOZ,3.7
2008,MOZ,4.3
2009,MOZ,4.8
2010,MOZ,5.9
2011,MOZ,6.7
2012,MOZ,7.2
2013,MOZ,7.9
2014,MOZ,9.4
2015,MOZ,11
2016,MOZ,11
2017,MOZ,11
2018,MOZ,11
2019,MOZ,11
2020,MOZ,10
2021,MOZ,9.4
2022,MOZ,8.8
2023,MOZ,7.9
2024,MOZ,7.3
2025,MOZ,7
2011,MRT,4.6
2012,MRT,5.1
2013,MRT,7.1
2014,MRT,8.6
2015,MRT,10
2016,MRT,11
2017,MRT,11
2018,MRT,11
2019,MRT,11
2020,MRT,12
2021,MRT,12
2022,MRT,11
2023,MRT,11
2024,MRT,11
2025,MRT,11
2004,MUS,31
2005,MUS,33
2006,MUS,34
2007,MUS,38
2008,MUS,38
2009,MUS,39
2010,MUS,40
2011,MUS,43
2012,MUS,44
2013,MUS,45
2014,MUS,45
2015,MUS,45
2016,MUS,44
2017,MUS,43
2018,MUS,43
2019,MUS,43
2020,MUS,42
2021,MUS,42
2022,MUS,42
2023,MUS,42
2024,MUS,41
2025,MUS,41
2004,MWI,0.74
2005,MWI,1.5
2006,MWI,1.4
2007,MWI,1.5
2008,MWI,1.7
2009,MWI,2.6
2010,MWI,3
2011,MWI,3.8
2012,MWI,4.4
2013,MWI,4.7
2014,MWI,5
2015,MWI,5.1
2016,MWI,4.9
2017,MWI,4.9
2018,MWI,4.8
2019,MWI,4.6
2020,MWI,4.4
2021,MWI,4.3
2022,MWI,4.3
2023,MWI,4
2024,MWI,3.9
2025,MWI,3.8
2005,MYS,31
2006,MYS,32
2007,MYS,37
2008,MYS,42
2009,MYS,46
2010,MYS,50
2011,MYS,55
2012,MYS,56
2013,MYS,56
2014,MYS,55
2015,MYS,53
2016,MYS,49
2017,MYS,49
2018,MYS,49
2019,MYS,54
2020,MYS,53
2021,MYS,52
2022,MYS,51
2023,MYS,51
2024,MYS,55
2025,MYS,56
2006,NAM,9.5
2007,NAM,9.8
2008,NAM,30
2009,NAM,42
2010,NAM,49
2011,NAM,51
2012,NAM,49
2013,NAM,53
2014,NAM,55
2015,NAM,57
2016,NAM,65
2017,NAM,67
2018,NAM,69
2019,NAM,68
2020,NAM,68
2021,NAM,68
2022,NAM,68
2023,NAM,67
2024,NAM,67
2025,NAM,61
2014,NER,1.3
2015,NER,1.5
2016,NER,1.6
2017,NER,1.7
2018,NER,1.8
2019,NER,1.8
2020,NER,1.8
2021,NER,1.9
2022,NER,2
2023,NER,2
2024,NER,1.8
2025,NER,1.8
2005,NGA,0.66
2006,NGA,1.7
2007,NGA,4.3
2008,NGA,8.3
2009,NGA,11
2010,NGA,11
2011,NGA,11
2012,NGA,11
2013,NGA,13
2014,NGA,15
2015,NGA,15
2016,NGA,16
2017,NGA,16
2018,NGA,16
2019,NGA,16
2020,NGA,15
2021,NGA,15
2022,NGA,14
2023,NGA,13
2024,NGA,13
2025,NGA,12
2004,NIC,3.4
2005,NIC,4.7
2006,NIC,5.9
2007,NIC,7
2008,NIC,8
2009,NIC,8.5
2010,NIC,8.6
2011,NIC,9.8
2012,NIC,12
2013,NIC,15
2014,NIC,16
2015,NIC,19
2016,NIC,18
2017,NIC,18
2018,NIC,23
2019,NIC,23
2020,NIC,22
2021,NIC,22
2022,NIC,22
2023,NIC,23
2024,NIC,24
2025,NIC,25
2004,NLD,60
2005,NLD,56
2006,NLD,61
2007,NLD,64
2008,NLD,64
2009,NLD,63
2010,NLD,58
2011,NLD,57
2012,NLD,55
2013,NLD,53
2014,NLD,54
2015,NLD,50
2016,NLD,47
2017,NLD,45
2018,NLD,41
2019,NLD,41
2020,NLD,36
2021,NLD,33
2022,NLD,34
2023,NLD,33
2024,NLD,33
2025,NLD,33
2004,NOR,59
2005,NOR,59
2006,NOR,60
2007,NOR,60
2008,NOR,59
2009,NOR,58
2010,NOR,55
2011,NOR,54
2012,NOR,53
2013,NOR,50
2014,NOR,48
2015,NOR,46
2016,NOR,39
2017,NOR,37
2018,NOR,35
2019,NOR,33
2020,NOR,32
2021,NOR,27
2022,NOR,27
2023,NOR,25
2024,NOR,24
2011,NPL,7.2
2012,NPL,7.4
2013,NPL,8.3
2014,NPL,9
2015,NPL,9.2
2016,NPL,10
2017,NPL,11
2018,NPL,15
2019,NPL,17
2020,NPL,20
2021,NPL,21
2022,NPL,22
2023,NPL,23
2024,NPL,24
2025,NPL,25
2022,NRU,124
2023,NRU,136
2024,NRU,135
2025,NRU,132
2004,NZL,59
2005,NZL,62
2006,NZL,69
2007,NZL,70
2008,NZL,72
2009,NZL,73
2010,NZL,73
2011,NZL,77
2012,NZL,75
2013,NZL,73
2014,NZL,71
2015,NZL,69
2016,NZL,66
2017,NZL,65
2018,NZL,64
2019,NZL,63
2020,NZL,54
2021,NZL,54
2022,NZL,51
2023,NZL,44
2024,NZL,36
2025,NZL,31
2010,OMN,46
2011,OMN,42
2012,OMN,37
2013,OMN,37
2014,OMN,35
2015,OMN,35
2016,OMN,35
2017,OMN,39
2018,OMN,37
2019,OMN,46
2020,OMN,49
2021,OMN,51
2022,OMN,52
2023,OMN,42
2024,OMN,49
2004,PAK,0.7
2005,PAK,1.1
2006,PAK,1.7
2007,PAK,2.5
2008,PAK,3.1
2009,PAK,3.6
2010,PAK,4
2011,PAK,4.4
2012,PAK,4.9
2013,PAK,5.9
2014,PAK,6.9
2015,PAK,8.1
2016,PAK,9.2
2017,PAK,9.8
2018,PAK,10
2019,PAK,11
2020,PAK,11
2021,PAK,11
2022,PAK,11
2023,PAK,12
2024,PAK,12
2025,PAK,13
2007,PAN,33
2008,PAN,35
2009,PAN,39
2010,PAN,40
2011,PAN,45
2012,PAN,51
2013,PAN,56
2014,PAN,62
2015,PAN,68
2016,PAN,69
2017,PAN,71
2018,PAN,70
2019,PAN,74
2020,PAN,73
2021,PAN,73
2022,PAN,72
2023,PAN,72
2024,PAN,73
2025,PAN,72
2004,PER,10
2005,PER,11
2006,PER,13
2007,PER,16
2008,PER,20
2009,PER,24
2010,PER,27
2011,PER,31
2012,PER,39
2013,PER,42
2014,PER,56
2015,PER,122
2016,PER,111
2017,PER,109
2018,PER,125
2019,PER,128
2020,PER,126
2021,PER,119
2022,PER,122
2023,PER,128
2024,PER,135
2004,PHL,10
2005,PHL,11
2006,PHL,12
2007,PHL,12
2008,PHL,13
2009,PHL,14
2010,PHL,15
2011,PHL,17
2012,PHL,19
2013,PHL,22
2014,PHL,23
2015,PHL,25
2016,PHL,27
2017,PHL,28
2018,PHL,28
2019,PHL,29
2020,PHL,29
2021,PHL,29
2022,PHL,29
2023,PHL,28
2024,PHL,28
2025,PHL,29
2007,PLW,33
2008,PLW,34
2009,PLW,34
2010,PLW,41
2011,PLW,42
2012,PLW,49
2013,PLW,50
2014,PLW,57
2015,PLW,57
2016,PLW,56
2017,PLW,56
2004,PNG,3.7
2005,PNG,3.6
2006,PNG,3.4
