year,ISO,value,projections,benchmark_low,benchmark_mid,benchmark_high
2013,BGD,6.17504,,,,
2014,BGD,6.188,,,,
2015,BGD,10.08,,,,
2016,BGD,11.5648,,,,
2017,BGD,11.564,,,,
2018,BGD,11.9957,,,,
2019,BGD,12.1336,,,,
2020,BGD,12.2715,,,,
1970,BGR,1.81298,,,,
1971,BGR,1.90508,,,,
1972,BGR,2.51835,,,,
1973,BGR,2.03148,,,,
1974,BGR,2.0812,,,,
1975,BGR,2.09716,,,,
1976,BGR,2.08408,,,,
1977,BGR,2.22292,,,,
1978,BGR,2.43595,,,,
1979,BGR,2.5434,,,,
1980,BGR,2.50848,,,,
1981,BGR,2.52495,,,,
1982,BGR,2.59182,,,,
1983,BGR,2.5944,,,,
1984,BGR,2.61404,,,,
1985,BGR,2.4062,,,,
1986,BGR,2.5707,,,,
1987,BGR,2.45952,,,,
1988,BGR,2.47084,,,,
1989,BGR,2.23272,,,,
1990,BGR,2.0724,,,,
1991,BGR,1.22529,,,,
1992,BGR,1.06074,,,,
1993,BGR,1.11555,,,,
1994,BGR,1.3943,,,,
1995,BGR,1.9251,,,,
1996,BGR,1.89604,,,,
1997,BGR,1.5189,,,,
1998,BGR,1.07358,,,,
1999,BGR,1.0506,,,,
2000,BGR,1.1492,,,,
2001,BGR,1.16622,,,,
2002,BGR,1.15774,,,,
2003,BGR,1.2096,,,,
2004,BGR,1.3755,,,,
2005,BGR,1.55298,,,,
2006,BGR,1.48467,,,,
2007,BGR,1.89189,,,,
2008,BGR,1.8228,,,,
2009,BGR,0.96725,,,,
2010,BGR,0.788322,,,,
2011,BGR,0.767748,,,,
2012,BGR,0.95559,,,,
2013,BGR,0.8712,,,,
2014,BGR,0.88893,,,,
2015,BGR,1.07814,,,,
2016,BGR,1.17367,,,,
2017,BGR,1.21398,,,,
2018,BGR,1.17704,,,,
2019,BGR,1.10631,,,,
2020,BGR,1.11888,,,,
1970,BHR,0.037791,,,,
1971,BHR,0.0401128,,,,
1972,BHR,0.0438672,,,,
1973,BHR,0.0457444,,,,
1974,BHR,0.0460408,,,,
1975,BHR,0.0460408,,,,
1976,BHR,0.048165,,,,
1977,BHR,0.050882,,,,
1978,BHR,0.053846,,,,
1979,BHR,0.055328,,,,
1980,BHR,0.055822,,,,
1981,BHR,0.055822,,,,
1982,BHR,0.055822,,,,
1983,BHR,0.057798,,,,
1984,BHR,0.05928,,,,
1985,BHR,0.060268,,,,
1986,BHR,0.063232,,,,
1987,BHR,0.06669,,,,
1988,BHR,0.070642,,,,
1989,BHR,0.073112,,,,
1990,BHR,0.073606,,,,
1991,BHR,0.073872,,,,
1992,BHR,0.075524,,,,
1993,BHR,0.07849,,,,
1994,BHR,0.082414,,,,
1995,BHR,0.085085,,,,
1996,BHR,0.085824,,,,
1997,BHR,0.075508,,,,
1998,BHR,0.09913,,,,
1999,BHR,0.065988,,,,
2000,BHR,0.036935,,,,
2001,BHR,0.037202,,,,
2002,BHR,0.028274,,,,
2003,BHR,0.054825,,,,
2004,BHR,0.065484,,,,
2005,BHR,0.1724,,,,
2006,BHR,0.1676,,,,
2007,BHR,0.1692,,,,
2008,BHR,0.196224,,,,
2009,BHR,0.3073,,,,
2010,BHR,0.5268,,,,
2011,BHR,0.5434,,,,
2012,BHR,0.57645,,,,
2013,BHR,0.5346,,,,
2014,BHR,0.5122,,,,
2015,BHR,0.52,,,,
2016,BHR,0.615772,,,,
2017,BHR,0.663405,,,,
2018,BHR,0.661981,,,,
2019,BHR,0.66959,,,,
2020,BHR,0.677198,,,,
1970,BHS,0.4199,,,,
1971,BHS,0.443243,,,,
1972,BHS,0.481957,,,,
1973,BHS,0.463349,,,,
1974,BHS,0.383978,,,,
1975,BHS,0.183261,,,,
1976,BHS,0.129646,,,,
1977,BHS,0.151304,,,,
1978,BHS,0.172245,,,,
1979,BHS,0.233418,,,,
1980,BHS,0.220896,,,,
1981,BHS,0.0134931,,,,
1982,BHS,0.0296036,,,,
1983,BHS,0.0119557,,,,
1970,BIH,0.053846,,,,
1971,BIH,0.06027,,,,
1972,BIH,0.069012,,,,
1973,BIH,0.073746,,,,
1974,BIH,0.078705,,,,
1975,BIH,0.082775,,,,
1976,BIH,0.088641,,,,
1977,BIH,0.09207,,,,
1978,BIH,0.099115,,,,
1979,BIH,0.106938,,,,
1980,BIH,0.108932,,,,
1981,BIH,0.108658,,,,
1982,BIH,0.107245,,,,
1983,BIH,0.104517,,,,
1984,BIH,0.100947,,,,
1985,BIH,0.096782,,,,
1986,BIH,0.09718,,,,
1987,BIH,0.094572,,,,
1988,BIH,0.092637,,,,
1989,BIH,0.088828,,,,
1990,BIH,0.06225,,,,
1991,BIH,0.0621,,,,
1992,BIH,0.0618,,,,
1993,BIH,0.0615,,,,
1994,BIH,0.06135,,,,
1995,BIH,0.06105,,,,
1996,BIH,0.0609,,,,
1997,BIH,0.0808,,,,
1998,BIH,0.1206,,,,
1999,BIH,0.1203,,,,
2000,BIH,0.1197,,,,
2001,BIH,0.279488,,,,
2002,BIH,0.359722,,,,
2003,BIH,0.348381,,,,
2004,BIH,0.4074,,,,
2005,BIH,0.39655,,,,
2006,BIH,0.46248,,,,
2007,BIH,0.49152,,,,
2008,BIH,0.54285,,,,
2009,BIH,0.40874,,,,
2010,BIH,0.378651,,,,
2011,BIH,0.342912,,,,
2012,BIH,0.340938,,,,
2013,BIH,0.381024,,,,
2014,BIH,0.38556,,,,
