year,geo,value
2019,SLV,0.50
2020,SLV,0.54
2021,SLV,0.44
2010,SRB,1531
2012,SRB,2008
2014,SRB,1890
2016,SRB,2441
2018,SRB,2199
2020,SRB,1645
2022,SRB,4444
2008,SUR,12073
2009,SUR,12973
2010,SUR,12819
2011,SUR,15893
2012,SUR,16403
2013,SUR,14085
2014,SUR,8058
2015,SUR,8880
2016,SUR,13268
2017,SUR,22669
2018,SUR,43856
2019,SUR,68916
2020,SUR,30770
2021,SUR,20393
2022,SUR,33868
2023,SUR,62889
2004,SVK,79
2006,SVK,99
2008,SVK,98
2010,SVK,77
2012,SVK,68
2014,SVK,69
2016,SVK,91
2018,SVK,83
2020,SVK,80
2022,SVK,91
2004,SVN,54
2006,SVN,58
2008,SVN,76
2010,SVN,57
2012,SVN,65
2014,SVN,75
2016,SVN,60
2018,SVN,62
2020,SVN,63
2022,SVN,63
2004,SWE,181
2006,SWE,292
2008,SWE,224
2010,SWE,270
2012,SWE,283
2014,SWE,265
2016,SWE,240
2018,SWE,283
2020,SWE,768
2022,SWE,684
2019,SYC,197
2020,SYC,260
2021,SYC,191
2003,SYR,38890
2007,TGO,326
2013,TGO,622
2000,THA,3.8
2001,THA,3.8
2002,THA,3.6
2003,THA,3.6
2004,THA,3.6
2005,THA,3.6
2006,THA,3.6
2007,THA,3.6
2008,THA,2.2
2009,THA,2.2
2010,THA,2.2
2011,THA,2.0
2012,THA,1.5
2013,THA,2.1
2014,THA,2.6
2015,THA,2.0
2016,THA,2.0
2018,THA,3.1
2019,THA,4.1
2020,THA,31
2021,THA,31
2022,THA,30
2023,THA,30
2003,TTO,12
2004,TTO,4.3
2005,TTO,4.2
2006,TTO,4.3
2007,TTO,3.8
2008,TTO,3.3
2013,TTO,1.1
2014,TTO,1.1
2015,TTO,1.2
2019,TTO,742
2020,TTO,5610
2022,TTO,4617
2001,TUN,6.5
2002,TUN,6.6
2017,TUN,4.4
2020,TUN,3.6
2004,TUR,15
2006,TUR,0
2008,TUR,14
2010,TUR,44
2012,TUR,53
2014,TUR,44
2016,TUR,70
2018,TUR,183
2020,TUR,368
2022,TUR,318
2000,TZA,70625
2001,TZA,64076
2002,TZA,70050
2003,TZA,72825
2004,TZA,211720
2005,TZA,192069
2006,TZA,179088
2007,TZA,162811
2008,TZA,80451
2009,TZA,84710
2010,TZA,76995
2011,TZA,84049
2012,TZA,83098
2013,TZA,73976
2014,TZA,82543
2015,TZA,88171
2017,TZA,113531
2018,TZA,107399
2019,TZA,98625
2020,TZA,104316
2021,TZA,92086
2000,UKR,1.9
2001,UKR,1.9
2002,UKR,2.8
2003,UKR,2.0
2004,UKR,2.0
2005,UKR,2.0
2006,UKR,2.0
2007,UKR,1.8
2008,UKR,2.0
2009,UKR,3.8
2010,UKR,2.8
2011,UKR,3.2
2012,UKR,3.4
2013,UKR,5.0
2014,UKR,6.2
2015,UKR,7.8
2016,UKR,7.3
2017,UKR,7.5
2018,UKR,7.2
2019,UKR,8.1
2020,UKR,8.4
2021,UKR,7.3
2022,UKR,18
2023,UKR,20
2007,USA,110
2009,USA,115
2011,USA,111
2013,USA,105
2015,USA,103
2017,USA,105
2019,USA,103
2014,UZB,78
2015,UZB,78
2016,UZB,73
2017,UZB,38
2018,UZB,34
2019,UZB,36
2020,UZB,36
2021,UZB,37
2022,UZB,31
2023,UZB,28
2002,VCT,75565
2021,VNM,1.9
2022,VNM,1.1
2023,VNM,7.3
2011,ZAF,4.0
2017,ZAF,0.11
2000,ZMB,20
2003,ZMB,20
2005,ZMB,15
